Data,Match_Strategy_Number,Increase_limit_Number,Increase_limit_First_Number,Increase_limit_Once_Number,Increase_limit_Once_first_Number,Increase_limit_Rate,Increase_limit_And_Once_Rate,All_A_SZ_Index_Increase
2025/4/17,30,11,-,-,-,36.67,36.67,0.59
2025/4/18,50,7,1,9,5,14.00,32.00,-0.20
2025/4/21,58,16,6,2,2,27.00,31.03,1.75
2025/4/22,78,14,7,8,4,16.67,26.92,0.17
2025/4/23,97,13,7,9,6,13.40,22.68,0.66
2025/4/24,61,13,4,4,2,21.13,27.87,-0.76
2025/4/25,86,16,13,7,5,18.60,26.74,0.21
2025/4/28,112,13,10,8,7,11.61,18.75,-1.29
2025/4/29,104,21,17,8,3,20.19,27.88,0.82
2025/4/30,94,25,21,7,6,26.60,34.04,0.88
2025/5/6,79,17,7,7,3,21.52,30.38,2.72
2025/5/7,109,13,7,17,11,11.93,27.52,0.74
2025/5/8,23,12,5,1,1,52.17,56.52,1.07
2025/5/9,23,5,3,4,0,21.74,39.13,-1.03
2025/5/12,64,7,5,7,4,10.94,21.86,1.33
2025/5/13,59,8,4,5,2,13.56,22.03,-0.14
2025/5/14,30,11,1,5,3,36.67,50.00,0.14
2025/5/15,28,8,1,2,0,28.57,35.71,-0.86
2025/5/16,34,10,3,5,2,29.41,44.12,0.52
